case_id,user_id,user_email,device_id,amount,currency,created_at,region,status,outcome,outcome_note
CASE-00150,usr-584106,elliot.novak99@webmail.sample,dev-c7332304,367.72,EUR,2026-05-16T13:10:00Z,EU-DE,open,,
CASE-00210,usr-439320,casey.haddad32@mail.example,dev-42c2d2eb,369.33,USD,2026-04-25T08:21:00Z,US-NY,open,,
CASE-00148,usr-948343,yuki.costa22@notreal.dev,dev-0b2f6d5c,395.03,USD,2026-06-23T23:15:00Z,US-TX,open,,
CASE-00084,usr-999398,logan.lee21@webmail.sample,dev-6961929e,661.44,SGD,2026-03-15T21:25:00Z,APAC-SG,open,,
CASE-00151,usr-154714,casey.kim83@notreal.dev,dev-dfc620ce,357.68,EUR,2026-01-27T22:54:00Z,EU-DE,open,,
CASE-00065,usr-782054,noor.osei35@notreal.dev,dev-7701f7bb,418.31,USD,2026-07-07T18:17:00Z,US-TX,open,,
CASE-00003,usr-263032,avery.kim28@webmail.sample,dev-1a2a73ed,95.37,USD,2026-01-25T11:54:00Z,US-TX,open,,
CASE-00093,usr-204555,amara.novak68@notreal.dev,dev-03edd1f8,688.54,GBP,2026-04-15T20:09:00Z,EU-GB,open,,
CASE-00095,usr-667296,avery.haddad5@mail.example,dev-3c19e71d,602.55,VND,2026-03-15T07:47:00Z,APAC-VN,open,,
CASE-00184,usr-639995,casey.silva72@mail.example,dev-51b1943c,235.72,GBP,2026-02-01T08:28:00Z,EU-GB,open,,
CASE-00014,usr-738551,reese.osei26@inbox.test,dev-5fb8d16c,726.29,USD,2026-05-19T16:58:00Z,US-NY,open,,
CASE-00205,usr-783984,camille.johnson74@inbox.test,dev-88ffbd40,703.84,EUR,2026-01-10T05:26:00Z,EU-FR,open,,
CASE-00179,usr-231250,dakota.kim81@webmail.sample,dev-9d4b2bf9,510.54,EUR,2026-05-09T20:10:00Z,EU-DE,open,,
CASE-00067,usr-472060,hayden.dubois34@webmail.sample,dev-4797b2c9,837.26,GBP,2026-06-29T08:35:00Z,EU-GB,resolved,lost,Cardholder confirmed unauthorized use.
CASE-00218,,emerson.smith59@inbox.test,dev-836435e3,399.33,JPY,2026-05-25T01:35:00Z,APAC-JP,open,,
CASE-00052,usr-184491,bilal.nakamura18@inbox.test,dev-3b33f3d8,368.82,EUR,2026-02-09T22:13:00Z,EU-FR,open,,
CASE-00114,usr-238205,morgan.nguyen2@webmail.sample,dev-ca3c6f5f,750.7,EUR,2026-05-31T10:01:00Z,EU-FR,open,,
CASE-00169,usr-136489,santiago.novak17@mail.example,dev-3c6a3174,741.36,USD,2026-04-04T11:24:00Z,US-CA,resolved,fraud_confirmed,Bank reversed decision on appeal.
CASE-00070,usr-882169,quinn.kowalski71@webmail.sample,dev-5a104129,670.09,JPY,2026-03-11T09:16:00Z,APAC-JP,open,,
CASE-00195,usr-278794,elliot.haddad68@notreal.dev,dev-25d4a0fc,782.0,EUR,2026-03-04T01:36:00Z,EU-DE,open,,
CASE-00123,usr-323072,elliot.osei20@notreal.dev,dev-39681c81,806.13,EUR,2026-03-31T17:23:00Z,EU-FR,open,,
CASE-00017,usr-665492,skyler.dubois97@inbox.test,dev-b683d2e6,301.64,VND,2026-06-21T20:23:00Z,APAC-VN,open,,
CASE-00126,usr-325583,taylor.osei49@notreal.dev,dev-74222167,329.12,USD,2026-04-05T09:46:00Z,US-NY,resolved,fraud_confirmed,Customer provided proof of delivery.
CASE-00023,usr-564656,camille.johnson71@mail.example,dev-0cf35b58,622.32,JPY,2026-05-19T00:05:00Z,APAC-JP,open,,
CASE-00066,usr-392477,yuki.johnson58@inbox.test,dev-c01f36bf,445.76,GBP,2026-06-06T21:24:00Z,EU-GB,open,,
CASE-00199,usr-392559,sam.rossi72@webmail.sample,dev-3990e2c9,894.88,EUR,2026-03-18T09:45:00Z,EU-FR,open,,
CASE-00030,usr-487477,bilal.rossi37@inbox.test,dev-702cdd20,793.39,GBP,2026-06-30T09:39:00Z,EU-GB,open,,
CASE-00131,usr-685864,jamie.osei86@webmail.sample,dev-12738a23,382.04,USD,2026-07-09T01:27:00Z,US-TX,resolved,fraud_confirmed,Bank reversed decision on appeal.
CASE-00142,usr-811875,priya.tran77@mail.example,dev-ca0ac6ac,602.3,EUR,2026-03-27T02:21:00Z,EU-FR,open,,
CASE-00042,usr-753425,taylor.tran41@mail.example,dev-b841d0a0,855.84,EUR,2026-05-10T09:42:00Z,EU-DE,open,,
CASE-00192,usr-434002,avery.costa21@notreal.dev,dev-fd98fe33,588.74,JPY,2026-03-18T18:21:00Z,APAC-JP,resolved,fraud_confirmed,Cardholder confirmed unauthorized use.
CASE-00051,usr-608136,drew.osei81@inbox.test,dev-464c04af,422.36,EUR,2026-07-02T09:15:00Z,EU-DE,open,,
CASE-00086,usr-643623,jordan.dubois47@notreal.dev,dev-a01ac992,424.4,VND,2026-01-14T06:17:00Z,APAC-VN,open,,
CASE-00102,usr-767542,quinn.rossi25@webmail.sample,dev-ad81f8bd,719.75,EUR,2026-07-16T21:43:00Z,EU-DE,open,,
CASE-00079,usr-793300,santiago.ivanov26@notreal.dev,dev-1d61fac3,520.98,JPY,2026-06-15T04:58:00Z,APAC-JP,resolved,won,Merchant evidence insufficient.
CASE-00194,usr-935457,elliot.patel93@mail.example,dev-98cf1188,455.06,USD,2026-06-17T18:36:00Z,US-NY,open,,
CASE-00130,usr-901280,sam.garcia33@webmail.sample,dev-53ffd3a2,121.03,EUR,2026-05-08T23:27:00Z,EU-DE,open,,
CASE-00080,usr-273982,taylor.smith40@webmail.sample,dev-706c5c56,125.14,EUR,2026-06-26T09:44:00Z,EU-FR,open,,
CASE-00002,usr-308496,alex.nakamura92@notreal.dev,dev-386ecbe0,431.15,EUR,2026-03-13T00:48:00Z,EU-DE,open,,
CASE-00116,usr-145471,jamie.costa94@webmail.sample,dev-75424646,614.03,USD,2026-01-08T01:30:00Z,US-NY,open,,
CASE-00099,usr-563187,riley.johnson45@webmail.sample,dev-a3917c99,914.23,EUR,2026-06-26T08:29:00Z,EU-FR,open,,
CASE-00100,usr-211834,rowan.haddad31@notreal.dev,dev-92698698,346.14,EUR,2026-03-17T22:18:00Z,EU-FR,open,,
CASE-00167,usr-468623,riley.novak58@mail.example,dev-ba108217,827.58,BRL,2026-04-01T19:27:00Z,LATAM-BR,open,,
CASE-00028,usr-802258,drew.dubois92@webmail.sample,dev-3d1a85dd,258.21,VND,2026-02-03T21:41:00Z,APAC-VN,open,,
CASE-00163,usr-517568,reese.osei70@notreal.dev,dev-40d92bce,42.5,USD,2026-06-15T06:18:00Z,US-CA,open,,
CASE-00076,usr-572398,parker.andersson57@webmail.sample,dev-dc33e1f9,562.39,BRL,2026-04-20T09:36:00Z,LATAM-BR,open,,
CASE-00092,usr-504832,micah.andersson85@inbox.test,dev-7ecddbaf,916.86,SGD,2026-02-02T16:37:00Z,APAC-SG,resolved,fraud_confirmed,"Duplicate charge, refunded prior to dispute."
CASE-00010,usr-518801,skyler.ivanov47@inbox.test,dev-ff50bde4,947.68,EUR,2026-05-11T15:05:00Z,EU-FR,open,,
CASE-00189,usr-402620,quinn.nakamura10@notreal.dev,dev-8116e3fc,432.23,SGD,2026-05-21T08:52:00Z,APAC-SG,resolved,fraud_confirmed,Cardholder confirmed unauthorized use.
CASE-00088,usr-622584,morgan.garcia92@webmail.sample,dev-82456fb4,672.5,SGD,2026-04-17T15:30:00Z,APAC-SG,resolved,won,"Duplicate charge, refunded prior to dispute."
CASE-00143,usr-364236,rowan.patel93@inbox.test,dev-555736f8,84.77,USD,2026-06-19T04:58:00Z,US-NY,open,,
CASE-00087,usr-227324,bilal.haddad4@inbox.test,dev-b5b453ca,157.19,VND,2026-05-22T00:35:00Z,APAC-VN,resolved,lost,"Duplicate charge, refunded prior to dispute."
CASE-00124,usr-946432,elliot.rossi55@mail.example,dev-9be71737,883.2,USD,2026-06-27T08:01:00Z,US-NY,open,,
CASE-00201,usr-404561,priya.garcia6@webmail.sample,dev-f48f709c,680.72,SGD,2026-03-30T14:41:00Z,APAC-SG,open,,
CASE-00007,usr-864544,riley.nakamura32@inbox.test,dev-7656af72,365.45,USD,2026-06-13T22:35:00Z,US-NY,open,,
CASE-00025,usr-794022,micah.nakamura92@notreal.dev,dev-27a0c3d7,186.88,JPY,2026-02-25T01:37:00Z,APAC-JP,open,,
CASE-00121,usr-880758,skyler.lee95@webmail.sample,dev-cfd01cbd,130.57,JPY,2026-01-16T18:35:00Z,APAC-JP,resolved,won,Customer provided proof of delivery.
CASE-00157,usr-579318,santiago.costa9@mail.example,dev-d6312a80,860.65,EUR,2026-06-02T17:01:00Z,EU-DE,open,,
CASE-00048,usr-916232,alex.lee55@inbox.test,dev-2d06e8cf,765.47,USD,2026-06-28T16:29:00Z,US-TX,open,,
CASE-00191,usr-624369,parker.andersson6@mail.example,dev-09f64405,137.09,USD,2026-03-27T15:33:00Z,US-TX,open,,
CASE-00011,usr-930555,casey.müller88@notreal.dev,dev-98ae4334,67.84,USD,2026-04-08T19:29:00Z,US-CA,open,,
CASE-00145,usr-197992,yuki.osei83@notreal.dev,dev-822c4d32,348.84,USD,2026-04-03T09:11:00Z,US-TX,open,,
CASE-00043,usr-681343,micah.patel17@inbox.test,dev-6ba25efe,634.36,SGD,2026-04-08T21:47:00Z,APAC-SG,open,,
CASE-00027,usr-358175,morgan.ivanov75@mail.example,dev-9e8fc965,85.23,BRL,2026-06-18T18:36:00Z,LATAM-BR,resolved,won,"Duplicate charge, refunded prior to dispute."
CASE-00193,usr-843167,dakota.haddad73@webmail.sample,dev-79928faa,776.44,VND,2026-04-05T10:43:00Z,APAC-VN,open,,
CASE-00032,usr-313487,micah.tran88@webmail.sample,dev-81627cf1,468.2,EUR,2026-01-14T02:40:00Z,EU-FR,open,,
CASE-00050,usr-547470,noor.osei71@notreal.dev,dev-e5af6e39,157.93,JPY,2026-05-02T14:16:00Z,APAC-JP,open,,
CASE-00213,usr-593699,micah.nakamura97@inbox.test,dev-c3093b6e,241.11,EUR,2026-07-13T19:55:00Z,EU-DE,resolved,won,Duplicate case_id canary - second occurrence
CASE-00068,usr-353080,sam.johnson93@notreal.dev,dev-7d137018,530.98,USD,2026-03-03T22:30:00Z,US-CA,open,,
CASE-00178,usr-843788,riley.tran29@webmail.sample,dev-f28e4122,894.33,USD,2026-03-14T02:16:00Z,US-TX,open,,
CASE-00054,usr-498858,priya.ivanov62@mail.example,dev-f1578470,339.36,USD,2026-07-12T12:54:00Z,US-CA,open,,
CASE-00133,usr-582446,riley.costa89@webmail.sample,dev-168fae12,419.38,USD,2026-01-28T07:27:00Z,US-CA,open,,
CASE-00072,usr-396745,parker.costa13@inbox.test,dev-4bd6cee6,222.29,BRL,2026-02-15T09:00:00Z,LATAM-BR,open,,
CASE-00008,usr-340174,yuki.smith5@webmail.sample,dev-66b2bc5b,260.21,EUR,2026-02-24T18:56:00Z,EU-DE,open,,
CASE-00147,usr-139581,bilal.osei85@webmail.sample,dev-e05b46c5,729.86,VND,2026-02-03T19:24:00Z,APAC-VN,open,,
CASE-00104,usr-310548,skyler.müller17@webmail.sample,dev-87e5f0fe,480.69,EUR,2026-03-11T05:16:00Z,EU-FR,open,,
CASE-00019,usr-170674,jordan.rossi5@webmail.sample,dev-1223b513,492.34,EUR,2026-03-13T21:31:00Z,EU-DE,resolved,fraud_confirmed,Bank reversed decision on appeal.
CASE-00091,usr-577463,dakota.andersson42@inbox.test,dev-fb140bc3,665.04,GBP,2026-05-27T12:14:00Z,EU-GB,open,,
CASE-00141,usr-841995,jordan.rossi57@notreal.dev,dev-86295b5d,500.43,VND,2026-02-10T11:23:00Z,APAC-VN,open,,
CASE-00125,usr-456331,priya.patel45@mail.example,dev-2e709838,827.41,USD,2026-05-25T21:25:00Z,US-TX,open,,
CASE-00186,usr-589491,hayden.osei64@webmail.sample,dev-7f53a88e,29.83,EUR,2026-04-11T16:29:00Z,EU-DE,open,,
CASE-00183,usr-607774,emerson.kowalski60@inbox.test,dev-5716dc2e,579.47,JPY,2026-03-22T22:20:00Z,APAC-JP,resolved,won,Cardholder confirmed unauthorized use.
CASE-00198,usr-659024,riley.novak44@webmail.sample,dev-ad05b912,735.21,SGD,2026-07-04T21:41:00Z,APAC-SG,open,,
CASE-00144,usr-235215,kai.andersson77@mail.example,dev-4f40c22f,534.5,GBP,2026-06-14T10:52:00Z,EU-GB,open,,
CASE-00069,usr-408528,alex.johnson29@notreal.dev,dev-b118f68d,237.19,JPY,2026-06-19T18:23:00Z,APAC-JP,open,,
CASE-00206,usr-926236,jordan.andersson64@inbox.test,dev-efc59738,713.56,USD,2026-03-16T01:00:00Z,US-TX,open,,
CASE-00024,usr-324130,hayden.haddad52@mail.example,dev-2a25a888,364.99,EUR,2026-04-10T08:59:00Z,EU-DE,open,,
CASE-00174,usr-227257,parker.rossi26@inbox.test,dev-3c9abe10,752.53,USD,2026-01-07T11:35:00Z,US-TX,open,,
CASE-00039,usr-910891,drew.johnson36@webmail.sample,dev-a43825b5,487.86,EUR,2026-06-23T17:21:00Z,EU-DE,open,,
CASE-00020,usr-704201,noor.ivanov61@inbox.test,dev-c8dcd19f,453.54,EUR,2026-04-15T06:06:00Z,EU-DE,open,,
CASE-00212,usr-837733,logan.osei99@webmail.sample,dev-b0b6dedf,118.61,EUR,2026-03-17T11:39:00Z,EU-FR,open,,
CASE-00107,usr-213609,yuki.silva87@inbox.test,dev-78b2b549,31.57,EUR,2026-05-24T10:58:00Z,EU-FR,open,,
CASE-00146,usr-301332,priya.haddad29@inbox.test,dev-27aa7cbc,80.69,EUR,2026-01-26T16:49:00Z,EU-DE,open,,
CASE-00181,usr-377511,priya.ivanov84@inbox.test,dev-c4576cc3,546.95,USD,2026-06-08T20:01:00Z,US-CA,open,,
CASE-00177,usr-905077,elliot.müller17@notreal.dev,dev-80bbae52,865.89,GBP,2026-01-15T03:33:00Z,EU-GB,resolved,fraud_confirmed,Bank reversed decision on appeal.
CASE-00159,usr-651613,quinn.johnson70@mail.example,dev-63f4c69d,830.68,USD,2026-01-12T20:24:00Z,US-NY,open,,
CASE-00127,usr-189083,elliot.costa7@inbox.test,dev-284c03d2,718.68,GBP,2026-01-13T21:05:00Z,EU-GB,open,,
CASE-00110,usr-393328,finley.kowalski5@webmail.sample,dev-379efc6e,425.67,USD,2026-03-02T11:06:00Z,US-NY,open,,
CASE-00045,usr-636004,emerson.dubois61@inbox.test,dev-a8aa7158,87.88,GBP,2026-05-12T21:40:00Z,EU-GB,open,,
CASE-00016,usr-903035,priya.nakamura17@inbox.test,dev-a8e56e0c,455.72,JPY,2026-05-21T05:16:00Z,APAC-JP,open,,
CASE-00204,usr-526673,dakota.müller84@notreal.dev,dev-7a3a10e1,620.81,JPY,2026-07-13T09:20:00Z,APAC-JP,resolved,won,Customer provided proof of delivery.
CASE-00188,usr-551860,amara.lee18@webmail.sample,dev-ba3df7ff,352.56,EUR,2026-04-14T11:02:00Z,EU-FR,open,,
CASE-00106,usr-483542,santiago.nakamura12@notreal.dev,dev-03902c5d,257.12,SGD,2026-02-01T14:23:00Z,APAC-SG,open,,
CASE-00057,usr-188025,logan.nguyen83@notreal.dev,dev-22bd3388,824.57,SGD,2026-02-16T01:16:00Z,APAC-SG,open,,
CASE-00134,usr-425346,taylor.andersson96@webmail.sample,dev-38b8f24e,321.75,BRL,2026-02-13T02:32:00Z,LATAM-BR,open,,
CASE-00037,usr-941204,avery.kowalski86@inbox.test,dev-444d610b,157.96,USD,2026-06-29T03:24:00Z,US-TX,open,,
CASE-00078,usr-822858,skyler.novak77@notreal.dev,dev-4a8ff810,38.75,USD,2026-03-15T22:18:00Z,US-NY,open,,
CASE-00061,usr-275939,priya.silva78@mail.example,dev-c71d5e60,779.78,JPY,2026-03-21T03:37:00Z,APAC-JP,open,,
CASE-00083,usr-391668,kai.novak24@notreal.dev,dev-a2814044,775.02,USD,2026-01-24T15:22:00Z,US-TX,open,,
CASE-00082,usr-807053,taylor.rossi74@mail.example,dev-ffe3fa49,728.4,BRL,2026-03-10T18:02:00Z,LATAM-BR,open,,
CASE-00160,usr-926823,alex.silva9@webmail.sample,dev-3dba6da8,698.43,GBP,2026-06-10T03:49:00Z,EU-GB,open,,
CASE-00075,usr-418594,santiago.ivanov11@inbox.test,dev-1e52d770,533.7,USD,2026-04-17T19:38:00Z,US-CA,open,,
CASE-00129,usr-652530,elliot.haddad86@webmail.sample,dev-0ba078e8,215.73,SGD,2026-06-03T01:00:00Z,APAC-SG,resolved,fraud_confirmed,Bank reversed decision on appeal.
CASE-00036,usr-885884,skyler.costa20@inbox.test,dev-dd56cc94,161.08,VND,2026-02-15T13:01:00Z,APAC-VN,open,,
CASE-00015,usr-217301,hayden.nguyen47@webmail.sample,dev-3d4cbf37,62.57,USD,2026-05-26T02:05:00Z,US-CA,open,,
CASE-00056,usr-859359,logan.andersson22@notreal.dev,dev-eb67146a,128.23,SGD,2026-06-09T17:01:00Z,APAC-SG,open,,
CASE-00202,usr-968170,sam.dubois69@webmail.sample,dev-eedaa802,537.42,EUR,2026-03-11T04:06:00Z,EU-FR,open,,
CASE-00060,usr-751517,sam.nguyen20@inbox.test,dev-20500494,454.09,USD,2026-01-30T18:13:00Z,US-CA,open,,
CASE-00113,usr-444519,sam.rossi19@mail.example,dev-46fb7bf3,816.62,VND,2026-02-07T04:34:00Z,APAC-VN,open,,
CASE-00103,usr-423939,bilal.smith57@mail.example,dev-945ef2e4,351.7,USD,2026-02-03T02:58:00Z,US-TX,open,,
CASE-00012,usr-813328,dakota.nguyen93@mail.example,dev-ae849217,841.47,VND,2026-07-12T08:49:00Z,APAC-VN,open,,
CASE-00063,usr-934904,finley.lee73@mail.example,dev-58e25888,509.85,EUR,2026-06-19T11:04:00Z,EU-FR,open,,
CASE-00013,usr-857168,emerson.nguyen93@webmail.sample,dev-f8cda88b,479.55,GBP,2026-02-15T16:58:00Z,EU-GB,resolved,lost,Cardholder confirmed unauthorized use.
CASE-00154,usr-979940,avery.lee92@webmail.sample,dev-ca97ebf5,145.58,GBP,2026-01-10T09:58:00Z,EU-GB,open,,
CASE-00208,usr-866634,avery.müller59@webmail.sample,dev-b7f60cdf,183.4,EUR,2026-07-08T10:50:00Z,EU-DE,open,,
CASE-00172,usr-399449,sam.costa89@notreal.dev,dev-333ee344,123.52,EUR,2026-01-19T14:11:00Z,EU-FR,open,,
CASE-00153,usr-127965,bilal.silva54@mail.example,dev-657e01c9,480.89,EUR,2026-03-02T12:05:00Z,EU-DE,open,,
CASE-00026,usr-599948,jordan.ivanov65@inbox.test,dev-0e8fa8e0,913.05,VND,2026-01-21T05:04:00Z,APAC-VN,resolved,lost,Customer provided proof of delivery.
CASE-00018,usr-359947,emerson.lee29@mail.example,dev-568cc69b,27.81,JPY,2026-05-22T07:37:00Z,APAC-JP,open,,
CASE-00053,usr-588557,avery.nakamura54@mail.example,dev-34f3193c,792.58,USD,2026-04-10T18:44:00Z,US-NY,open,,
CASE-00062,usr-515922,elliot.andersson92@inbox.test,dev-13748146,565.76,USD,2026-06-10T07:06:00Z,US-CA,open,,
CASE-00005,usr-301629,quinn.ivanov91@mail.example,dev-0bbb2599,630.91,BRL,2026-07-17T09:05:00Z,LATAM-BR,open,,
CASE-00158,usr-405420,micah.garcia55@mail.example,dev-9d642932,340.35,VND,2026-05-27T13:11:00Z,APAC-VN,open,,
CASE-00211,usr-374258,elliot.nguyen84@webmail.sample,dev-b1594847,230.6,EUR,2026-06-20T03:29:00Z,EU-FR,open,,
CASE-00203,usr-153231,jamie.rossi86@inbox.test,dev-a35055e4,227.33,BRL,2026-01-26T13:21:00Z,LATAM-BR,open,,
CASE-00009,usr-774079,hayden.andersson59@inbox.test,dev-43cf2fde,139.53,GBP,2026-07-10T17:34:00Z,EU-GB,open,,
CASE-00029,usr-109767,camille.johnson59@mail.example,dev-12c136e0,514.45,EUR,2026-05-10T08:08:00Z,EU-FR,open,,
CASE-00049,usr-578634,camille.lee18@notreal.dev,dev-aae65fc1,508.33,USD,2026-05-24T19:20:00Z,US-CA,open,,
CASE-00071,usr-899213,morgan.nakamura89@inbox.test,dev-3108d448,211.83,EUR,2026-05-04T08:46:00Z,EU-DE,resolved,won,Merchant evidence insufficient.
CASE-00040,usr-140115,elliot.kim14@notreal.dev,dev-587ef344,694.29,USD,2026-03-22T13:38:00Z,US-CA,resolved,lost,Cardholder confirmed unauthorized use.
CASE-00089,usr-299869,casey.andersson77@inbox.test,dev-dd30de89,73.76,EUR,2026-07-17T13:21:00Z,EU-DE,open,,
CASE-00118,usr-674993,kai.ivanov92@webmail.sample,dev-6182f347,944.94,USD,2026-05-16T09:29:00Z,US-TX,open,,
CASE-00064,usr-962276,alex.kowalski63@mail.example,dev-6efb63b1,913.06,VND,2026-06-12T14:45:00Z,APAC-VN,open,,
CASE-00059,usr-154615,noor.nakamura45@inbox.test,dev-a66fd7f7,72.64,USD,2026-06-16T01:48:00Z,US-NY,open,,
CASE-00209,usr-284019,priya.dubois79@notreal.dev,dev-d3b59af7,410.9,EUR,2026-03-25T02:25:00Z,EU-FR,open,,
CASE-00137,usr-757685,finley.tran41@inbox.test,dev-70944bdb,72.33,BRL,2026-04-24T20:19:00Z,LATAM-BR,open,,
CASE-00109,usr-489033,rowan.novak86@notreal.dev,dev-965befdf,707.22,USD,2026-02-09T13:41:00Z,US-NY,resolved,fraud_confirmed,Cardholder confirmed unauthorized use.
CASE-00140,usr-164879,parker.garcia58@mail.example,dev-cf9b8558,854.98,GBP,2026-03-29T22:05:00Z,EU-GB,open,,
CASE-00185,usr-538446,rowan.costa32@inbox.test,dev-d0401587,316.44,EUR,2026-05-28T23:20:00Z,EU-DE,resolved,won,Merchant evidence insufficient.
CASE-00173,usr-800280,santiago.tran45@mail.example,dev-8ccc9cea,518.73,JPY,2026-03-18T05:45:00Z,APAC-JP,open,,
CASE-00119,usr-994217,morgan.lee84@inbox.test,dev-6e191042,433.36,VND,2026-02-28T13:21:00Z,APAC-VN,open,,
CASE-00077,usr-755900,priya.dubois28@webmail.sample,dev-a911d192,84.48,BRL,2026-03-03T05:35:00Z,LATAM-BR,resolved,fraud_confirmed,Customer provided proof of delivery.
CASE-00006,usr-575435,rowan.kim82@webmail.sample,dev-29a3b2e9,356.71,EUR,2026-02-23T21:17:00Z,EU-DE,open,,
CASE-00001,usr-872246,jamie.garcia14@mail.example,dev-972a8469,405.45,USD,2026-01-08T02:13:00Z,US-NY,resolved,lost,Cardholder confirmed unauthorized use.
